./csim-ref-partA  S 0403a5f0,2
l1-i cache[0][0]: valid=1, dirty=0, tag=34008
l1-i cache[0][1]: valid=1, dirty=0, tag=34007
l1-i cache[1][0]: valid=1, dirty=0, tag=34008
l1-i cache[1][1]: valid=1, dirty=0, tag=34007
l1-i cache[2][0]: valid=1, dirty=0, tag=34008
l1-i cache[2][1]: valid=0, dirty=0, tag=34007
l1-i cache[3][0]: valid=1, dirty=0, tag=34008
l1-i cache[3][1]: valid=0, dirty=0, tag=34007

l2 cache[0][0]: valid=1, dirty=1, tag=1052308
l2 cache[0][1]: valid=1, dirty=1, tag=1052303
l2 cache[0][2]: valid=1, dirty=0, tag=17004
l2 cache[0][3]: valid=1, dirty=0, tag=1052262
l2 cache[1][0]: valid=1, dirty=0, tag=1052240
l2 cache[1][1]: valid=1, dirty=0, tag=1052239
l2 cache[1][2]: valid=1, dirty=0, tag=17003
l2 cache[1][3]: valid=1, dirty=0, tag=17004
l2 cache[2][0]: valid=1, dirty=0, tag=17003
l2 cache[2][1]: valid=1, dirty=0, tag=17004
l2 cache[2][2]: valid=1, dirty=1, tag=1052309
l2 cache[2][3]: valid=1, dirty=0, tag=17288
l2 cache[3][0]: valid=1, dirty=0, tag=1052240
l2 cache[3][1]: valid=1, dirty=0, tag=17003
l2 cache[3][2]: valid=1, dirty=0, tag=17288
l2 cache[3][3]: valid=1, dirty=0, tag=17004
l2 cache[4][0]: valid=1, dirty=1, tag=1052310
l2 cache[4][1]: valid=1, dirty=0, tag=17004
l2 cache[4][2]: valid=1, dirty=0, tag=17003
l2 cache[4][3]: valid=1, dirty=0, tag=1052235
l2 cache[5][0]: valid=1, dirty=0, tag=1052261
l2 cache[5][1]: valid=1, dirty=0, tag=1052240
l2 cache[5][2]: valid=1, dirty=0, tag=17003
l2 cache[5][3]: valid=1, dirty=0, tag=1052239
l2 cache[6][0]: valid=1, dirty=1, tag=1052306
        l2 cache[6][1]: valid=1, dirty=0, tag=1052311
l2 cache[6][2]: valid=1, dirty=0, tag=1052240
l2 cache[6][3]: valid=1, dirty=0, tag=1052261
l2 cache[7][0]: valid=1, dirty=0, tag=1052239
        l2 cache[7][1]: valid=0, dirty=0, tag=17003
l2 cache[7][2]: valid=1, dirty=0, tag=1052261
l2 cache[7][3]: valid=1, dirty=0, tag=1052238

        l3 cache[15][0]: valid=1, dirty=0, tag=263077
l3 cache[15][1]: valid=1, dirty=0, tag=263059
l3 cache[15][2]: valid=1, dirty=0, tag=263062
l3 cache[15][3]: valid=1, dirty=1, tag=263076
l3 cache[15][4]: valid=1, dirty=1, tag=263081
l3 cache[15][5]: valid=1, dirty=0, tag=263063
l3 cache[15][6]: valid=1, dirty=0, tag=263064
l3 cache[15][7]: valid=1, dirty=1, tag=263072

./csim 
l1-i cache[0][0]: valid=1, dirty=0, tag=34008
l1-i cache[0][1]: valid=1, dirty=0, tag=34007
l1-i cache[1][0]: valid=1, dirty=0, tag=34008
l1-i cache[1][1]: valid=1, dirty=0, tag=34007
l1-i cache[2][0]: valid=1, dirty=0, tag=34008
l1-i cache[2][1]: valid=0, dirty=0, tag=34007
l1-i cache[3][0]: valid=1, dirty=0, tag=34008
l1-i cache[3][1]: valid=1, dirty=0, tag=34007

l2 cache[0][0]: valid=1, dirty=1, tag=1052308
l2 cache[0][1]: valid=1, dirty=1, tag=1052303
l2 cache[0][2]: valid=1, dirty=0, tag=17004
l2 cache[0][3]: valid=1, dirty=0, tag=1052262
l2 cache[1][0]: valid=1, dirty=0, tag=1052240
l2 cache[1][1]: valid=1, dirty=0, tag=1052239
l2 cache[1][2]: valid=1, dirty=0, tag=17003
l2 cache[1][3]: valid=1, dirty=0, tag=17004
l2 cache[2][0]: valid=1, dirty=0, tag=17003
l2 cache[2][1]: valid=1, dirty=0, tag=17004
l2 cache[2][2]: valid=1, dirty=1, tag=1052309
l2 cache[2][3]: valid=1, dirty=0, tag=17288
l2 cache[3][0]: valid=1, dirty=0, tag=1052240
l2 cache[3][1]: valid=1, dirty=0, tag=17003
l2 cache[3][2]: valid=1, dirty=0, tag=17288
l2 cache[3][3]: valid=1, dirty=0, tag=17004
l2 cache[4][0]: valid=1, dirty=1, tag=1052310
l2 cache[4][1]: valid=1, dirty=0, tag=17004
l2 cache[4][2]: valid=1, dirty=0, tag=17003
l2 cache[4][3]: valid=1, dirty=0, tag=1052235
l2 cache[5][0]: valid=1, dirty=0, tag=1052261
l2 cache[5][1]: valid=1, dirty=0, tag=1052240
l2 cache[5][2]: valid=1, dirty=0, tag=17003
l2 cache[5][3]: valid=1, dirty=0, tag=1052239
l2 cache[6][0]: valid=1, dirty=1, tag=1052306
l2 cache[6][1]: valid=1, dirty=0, tag=1052311
l2 cache[6][2]: valid=1, dirty=0, tag=1052240
l2 cache[6][3]: valid=1, dirty=0, tag=1052261
l2 cache[7][0]: valid=1, dirty=0, tag=1052239
l2 cache[7][1]: valid=1, dirty=0, tag=17003
l2 cache[7][2]: valid=1, dirty=0, tag=1052261
l2 cache[7][3]: valid=1, dirty=0, tag=1052238

l3 cache[15][0]: valid=1, dirty=0, tag=263077
l3 cache[15][1]: valid=1, dirty=0, tag=263059
l3 cache[15][2]: valid=1, dirty=0, tag=263062
l3 cache[15][3]: valid=1, dirty=1, tag=263076
l3 cache[15][4]: valid=1, dirty=1, tag=263081
l3 cache[15][5]: valid=1, dirty=0, tag=263063
l3 cache[15][6]: valid=1, dirty=0, tag=263064
l3 cache[15][7]: valid=1, dirty=1, tag=263072
